"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"Zfp804a",1.67868223909369e-16,0.251149960813043,0.843,0.767,7.68299287188398e-12,"Zfp804a"
"Ntrk3",4.50616082224665e-16,0.573516794074184,0.884,0.843,2.06237968512585e-11,"Ntrk3"
"March1",3.1568637132282e-15,0.349242371718271,0.862,0.812,1.44483338427028e-10,"March1"
"Lrrc4c",1.25006280962721e-12,0.456296360060939,0.988,0.988,5.7212874671018e-08,"Lrrc4c"
"Calb1",4.69387837788574e-11,0.415811014099614,0.507,0.422,2.14829425599074e-06,"Calb1"
"Pard3b",2.463777980644e-10,0.389620200757181,0.585,0.521,1.12762190618115e-05,"Pard3b"
"Trhde",9.07144396529458e-10,0.324106026465588,0.773,0.716,4.15181847403602e-05,"Trhde"
"Ptprk",3.72400619904297e-08,0.484900218202091,0.51,0.451,0.00170440315717798,"Ptprk"
"Fam19a2",4.32816942794037e-06,0.278113536074946,0.728,0.695,0.198091658377975,"Fam19a2"
"LOC105244042",0.000586850038834452,0.297005310831074,0.33,0.289,1,"LOC105244042"
"Sema6d",0.00268643282517053,0.28881165204769,0.854,0.819,1,"Sema6d"
"Tmtc2",0.646678634111633,0.264020259475715,0.993,0.996,1,"Tmtc2"
